trend_name	streaks	first_trended
#CHOP	12	2020-06-13
#ObamaAppreciationDay	12	2020-06-14
#CHAZ	12	2020-06-12
Supreme Court	11	2020-06-15
#BreonnaTalyor	9	2020-06-23
T-Mobile	9	2020-06-15
#Covid_19	9	2020-06-16
Nazi	9	2020-06-18
Gen Z	9	2020-06-14
#LovingDay	9	2020-06-12
#UWGrad20	9	2020-06-13
McMuffin	9	2020-06-17
Happy Pride	8	2020-06-28
Nestor	8	2020-06-18
#Pride	8	2020-06-27
Chelsea	8	2020-06-25
Aunt Jemima	8	2020-06-24
Proud Boys	8	2020-06-16
4th of July	8	2020-07-02
cal anderson	8	2020-06-26
NASCAR	8	2020-06-23
Bolton	8	2020-06-17
#TrumpIsNotWell	7	2020-06-14
Mahomes	7	2020-06-26
Puerto Rico	7	2020-06-26
Rihanna	7	2020-06-23
SCOTUS	7	2020-06-15
Gohmert	7	2020-06-24
Disney	7	2020-06-25
#MUNSHU	7	2020-06-24
#weloveyoudoja	7	2020-06-15
Asexual	7	2020-06-13
#CHEMCI	7	2020-06-25
Putin	7	2020-06-27
Bell	7	2020-06-12
Xbox	7	2020-06-12
Daniel Berger	7	2020-06-14
Fox News	7	2020-06-13
Sarri	7	2020-06-17
Russia	7	2020-06-18
#HamiltonFilm	7	2020-07-03
#RacismAtTAMUFeelsLike	7	2020-06-16
#1DOnlineConcertStayAtHome	6	2020-06-17
Yacht Club	6	2020-06-16
#BETAwards	6	2020-06-28
David Price	6	2020-07-04
tim krul	6	2020-06-27
Independence Day	6	2020-07-02
America	5	2020-06-18
#Juneteenth	5	2020-06-18
AIDS	5	2020-06-16
Mixer	5	2020-06-23
#CHOPseattle	5	2020-06-14
Judkins Park	5	2020-06-12
#youthshalllead	5	2020-06-13
Rob Manfred	5	2020-06-15
Tucker	5	2020-07-07
#RacistInChief	5	2020-07-06
Eagles	5	2020-07-05
Nick Cordero	5	2020-07-05
Summer Taylor	5	2020-07-05
Joey Chestnut	5	2020-07-04
Tanaka	5	2020-07-04
I Am Legend	5	2020-07-03
Fabinho	5	2020-06-24
Dean Cain	5	2020-07-02
#BenedictDonald	5	2020-07-03
David Luiz	5	2020-06-17
#TRE45ON	5	2020-06-27
#PRIDE2020	5	2020-06-26
